,pdb1,pdb2,rmsd_h12,rmsd_l12,engineered_1,engineered_2
322,1jv5,6e65,3.542195460676983,6.405496884344073,True,True
323,4ocr,5tjd,11.678635926741402,4.474281453166134,True,True
324,4ub0,6eyn,2.3036841036085547,9.615021174797459,True,True
325,4ut7,6ss0,10.780789392334636,10.306759806194929,True,False
326,6phg,7lsb,11.600395501070212,13.291561534834631,True,True
327,4lri,5tpp,4.18568815746736,11.714403855087323,True,True
328,4gsd,4rir,5.691475945438055,11.554285367840524,True,True
329,3rpi,6ell,5.810897124422786,15.656687413541862,True,True
330,6apc,6dlb,4.5843773964717665,8.514575635565981,True,True
331,4ut7,5cex,5.66494307810105,15.302825360571644,True,True
332,5i1j,6meg,3.267889578140895,6.592378873200913,True,True
333,2a9m,5dr5,10.50633862804676,6.473419151048709,True,True
334,3tcl,6rcs,8.109434489184496,19.44632106950416,True,True
335,4rir,4xcc,2.7084175067047918,6.464960982442363,True,True
336,3rpi,4fq2,11.115712942440984,12.885779175533253,True,True
337,1rz7,5f6i,5.418062690696048,9.795135073780877,True,True
338,2f5a,7jxc,14.894199793879496,5.7750980065194275,False,True
339,1u6a,4osu,7.742731470547071,3.518955064211818,True,True
340,2hff,6wyt,3.7118181849709786,5.0676571746979375,True,True
341,7fab,7m1c,5.45932437726959,10.23761497144535,True,True
342,5tfs,5tqa,10.252665049878495,7.7988697637327205,True,True
343,4hfw,6peh,8.172422125565804,7.298293647594085,True,True
344,5grv,7fab,5.720762517295826,13.841298755705816,True,True
345,2fb4,6al4,5.388394964455441,7.233002598779335,True,True
346,5jxa,6ca6,9.817396519142052,7.672628732089628,True,True
347,5ihz,7ke1,8.647915310003006,7.342710748453925,True,True
348,4hh9,6tkd,5.791085257275293,3.214854911959071,False,False
349,5i1d,6ca7,15.373761541838501,12.069081918168326,True,True
350,6dc4,6tcq,4.531661834732927,7.845672489284995,True,True
351,6w4w,7mfa,11.31376063417907,12.689537351685232,True,True
352,4p9m,5wk2,10.157400992472189,11.404389867479555,True,True
353,6tkf,7fab,3.655510174882827,10.591988418171942,False,True
354,6rco,7km6,4.59574887421449,10.841333247698776,True,False
355,3tcl,5ifa,11.305466606704586,6.921245401097359,True,True
356,1ad0,5w1g,6.494731676580739,16.82818536747745,True,True
357,5od0,6p9i,7.886622530678531,5.658606418376047,True,True
358,5grv,6elj,7.196413426904925,6.767715072132557,True,True
359,6mty,7bm5,19.060591707761855,18.918565641372147,True,True
360,4hk3,5drw,3.2920537541057673,12.816500496140055,True,True
361,1za6,6j9o,10.833721632664489,11.263241456927712,True,True
362,4xce,6q19,6.983266410901492,6.293645851976681,True,True
363,4hk3,5bq7,8.040859280496706,17.444385064524234,True,True
364,5n4j,6qbc,7.444064362851872,6.883574371599148,True,True
365,4jpi,7fab,3.076248515910349,8.170139049116534,True,True
366,5u15,6tkd,6.697412119734197,4.784754960906319,True,False
367,4ky1,6btj,4.068452430074764,0.865212535921872,True,True
368,3na9,6vpy,3.3763495204117087,6.778913185125217,True,True
369,6nis,7ke1,4.417326392846413,4.998533596373615,True,True
370,5i1h,5weq,9.065896615631159,5.936182670546217,True,True
371,5bzd,6meg,9.378131664442817,5.8576893761841085,True,True
372,4f58,4toy,10.46400732122976,5.065452122033048,False,True
373,5uxq,6srv,16.26174959836733,7.17968454623148,True,False
374,6wos,7lud,13.65914686094084,9.815814671109788,True,True
375,2hff,6mee,10.897549179746793,4.32087445007463,True,True
376,4hk3,5vz1,8.7232676467881,19.115886923674445,True,True
377,4hk0,6e65,3.163197682737853,8.002188625635588,True,True
378,4zyk,5ezj,4.953357324007311,4.480202439655078,True,True
379,1jpt,5awn,9.281039139018864,6.351769548152936,True,True
380,1opg,4fqh,6.715299259200963,4.775458842739583,False,True
381,2d7t,6nis,5.153049906593545,5.877073376755475,True,True
382,5vz1,6gc2,2.2151711067605055,18.61627098940192,True,True
383,3qrg,4fnl,15.058951734558088,9.553720917196529,True,True
384,6dcv,6j9o,6.616739838753674,11.297196876201916,True,True
385,3dif,6w4w,2.129371394139521,7.928581657675173,True,True
386,1jpt,6dzn,6.218495440769817,3.717755100794196,True,True
387,4osu,5f7e,8.448851276394029,9.889062303333322,True,True
388,5weq,7mfa,6.915798263758132,7.310551496089265,True,True
389,1rhh,6obz,7.364609338120047,3.315033658868031,True,True
390,5cex,6ca6,9.580300323939486,10.38552446655656,True,True
391,3ncj,6mtr,6.955764807876989,4.98717662167549,True,True
392,3qeg,7o4y,8.695968669087419,4.1781835737792035,False,True
393,4p9m,5tgb,10.154707430931357,8.807302929656153,True,True
394,5jo5,6anp,14.04950246561244,6.481373025628015,True,True
395,1rhh,4jam,13.031281324902398,15.378123014174681,True,True
396,5nyx,6tke,4.61533462716444,1.861216148763998,True,False
397,1qlr,6lun,7.088686518848185,7.381643510043123,False,True
398,4jdv,5i18,6.758682494576883,16.4315684382241,True,True
399,4zd3,5jo5,4.8054009632879495,6.379021210217432,True,True
400,1igm,6qbc,3.133367937045736,5.838301572950825,True,True
401,4xbp,6qcu,8.004594139851815,3.6864624492478755,True,True
402,3qot,4rir,8.797685408940666,13.698496403289578,True,True
403,6meg,6srx,3.16688221194536,4.53668683637491,True,False
404,2f5a,6mtr,7.116061690596492,4.892650576223173,False,True
405,1rz8,5itb,15.151721359510608,4.425416274902346,True,True
406,1vge,2d7t,5.198756283432726,4.7189647451425305,True,True
407,5jr1,6q1a,11.11197358848778,6.035960822589936,True,True
408,6tkf,7o4y,8.278458137879602,0.8323533961449379,False,True
409,4d9l,5i1l,3.1552376161015987,9.047671286053482,True,True
410,3qrg,6mtx,5.71596226451636,8.142326904549513,True,True
411,3qhz,4ub0,12.651833951793314,7.584001071818823,True,True
412,1rz7,6anp,10.81921783722719,4.347554260504823,True,True
413,5i1j,5ibu,9.057706922146465,3.4231697339178693,True,True
414,4x0k,6oed,5.370994919545284,10.82858538639611,True,True
415,5bk5,5ifh,6.679447473757654,13.588424341541778,True,True
416,3lmj,6u8c,9.323534884064895,19.011513916074414,True,True
417,3dif,6wiy,9.777691095757858,4.851333566535258,True,True
418,3oaz,5tfs,8.504477451245902,5.4792435831942266,True,True
419,3u46,5jr1,5.708050227734839,7.770836735422454,True,True
420,4xce,7km6,8.668306303983927,11.493808009831628,True,False
421,5i15,6u9u,5.324091306710235,1.0425491801566498,True,True
422,5weq,6xoc,6.166955238532424,6.021899414657218,True,True
423,3inu,6mts,4.282870672944943,9.807552790103522,True,True
424,5uxq,6mfj,14.526121272340735,9.760256681254738,True,True
425,4gw4,6ss0,6.711856347166558,17.996432710601383,True,False
426,4hqq,5jrp,7.706782853637762,10.575275390013065,True,True
427,5tfs,6o3d,8.701013769958072,7.148849639642717,True,True
428,3u4b,5xrq,5.887573563101993,3.1126318989515336,True,True
429,3tcl,5i1l,10.714356401831552,11.522047235511218,True,True
430,3dif,5wcd,6.301746603435134,5.446213969984939,True,True
431,4od3,8fab,10.249968464128317,9.847860110129298,True,False
432,3hi5,6xoc,4.484002434436365,4.19709846204683,True,True
433,4odh,5weq,6.65865346865453,6.254953884510925,True,True
434,4gxv,5i16,7.359389696110592,5.811116327271468,True,True
435,3na9,3naa,0.13815391755653642,0.3202046863010608,True,True
436,4lrn,5gs1,15.362288698709579,14.198398052235863,True,True
